Datum;Uhrzeit;Bezeichnung;Intervall;D11Z;D11B;D12Z;D12B;D21Z;D21B;D22Z;D22B;D23Z;D23B;D31Z;D31B;D32Z;D32B;Anf_32Z;Anf_32B
21.06.2024;21:41;A182;1;2;31;4;38;1;0;1;1;0;0;1;13;5;10;0;0
21.06.2024;21:40;A182;1;0;0;2;7;0;0;2;41;0;0;2;18;3;5;1;3
21.06.2024;21:39;A182;1;0;0;2;10;4;28;1;18;0;0;0;0;1;1;0;0
21.06.2024;21:38;A182;1;2;24;3;16;2;60;2;56;0;0;0;0;0;32;0;0
21.06.2024;21:37;A182;1;2;39;3;14;4;29;0;0;0;0;0;0;1;10;0;0
21.06.2024;21:36;A182;1;1;5;5;59;0;2;1;3;0;0;1;2;0;0;0;0
21.06.2024;21:35;A182;1;2;14;3;12;2;39;2;23;0;0;1;1;1;1;0;0
21.06.2024;21:34;A182;1;2;2;5;18;0;0;1;64;0;0;0;0;3;5;0;0
21.06.2024;21:33;A182;1;0;0;2;8;0;14;0;12;0;0;0;0;0;0;0;0
21.06.2024;21:32;A182;1;0;0;2;9;4;51;2;24;0;0;0;0;1;37;0;0
21.06.2024;21:31;A182;1;1;4;4;13;2;34;0;0;0;0;1;2;4;6;0;0
21.06.2024;21:30;A182;1;1;2;4;26;3;30;2;37;0;0;0;0;2;7;0;0
21.06.2024;21:29;A182;1;2;17;3;18;1;1;1;6;0;0;0;0;1;1;0;0
21.06.2024;21:28;A182;1;0;0;3;8;1;1;1;57;0;0;1;2;1;2;0;0
21.06.2024;21:27;A182;1;4;23;5;13;0;0;1;36;0;0;0;0;3;10;0;0
21.06.2024;21:26;A182;1;2;12;3;13;4;63;2;11;0;0;0;0;2;9;0;0
21.06.2024;21:25;A182;1;1;3;4;9;2;40;1;25;0;0;1;3;3;5;0;0
21.06.2024;21:24;A182;1;3;12;6;25;5;50;4;56;0;0;0;8;1;16;0;0
21.06.2024;21:23;A182;1;3;22;2;8;2;2;1;1;0;0;2;4;4;7;0;0
