Datum;Uhrzeit;Bezeichnung;Intervall;V21Z;V21B;V22Z;V22B;D51Z;D51B;D81Z;D81B;D82Z;D82B;D91Z;D91B;D41Z;D41B;D42_1Z;D42_1B;_FG32Z;_FG32B;_FG33Z;_FG33B;_FG38Z;_FG38B;V83Z;V83B;V84Z;V84B;V92Z;V92B;V43Z;V43B;V44Z;V44B
27.09.2024;23:31;A 11;1;4;16;3;15;1;0;2;2;1;1;0;0;0;100;0;100;0;0;0;0;1;5;1;29;1;9;2;4;0;0;0;0
27.09.2024;23:30;A 11;1;4;35;1;6;0;0;3;4;1;2;3;4;0;100;0;100;0;0;0;0;0;0;5;45;5;22;4;29;0;0;0;0
27.09.2024;23:29;A 11;1;5;41;1;8;0;0;3;4;1;2;0;0;0;100;0;100;0;0;0;0;0;0;5;31;1;10;2;5;0;0;0;0
27.09.2024;23:28;A 11;1;2;18;2;6;0;0;0;0;2;3;0;0;0;100;0;100;0;0;0;0;0;0;2;5;1;13;0;0;0;0;0;0
27.09.2024;23:27;A 11;1;0;0;3;30;0;0;1;0;4;4;0;0;0;100;0;100;0;0;0;0;0;0;1;1;6;24;6;24;0;0;1;6
27.09.2024;23:26;A 11;1;2;7;2;19;0;0;2;2;1;1;1;1;0;100;0;100;0;0;0;0;0;0;2;10;2;5;1;3;2;8;3;16
27.09.2024;23:25;A 11;1;4;12;1;14;0;0;1;0;3;3;5;4;0;100;0;100;0;0;0;0;0;0;0;0;7;38;1;59;0;0;1;6
27.09.2024;23:24;A 11;1;6;56;3;25;0;0;2;1;1;1;0;0;0;100;0;100;0;0;0;0;0;0;3;17;2;9;2;13;1;5;2;6
27.09.2024;23:23;A 11;1;2;9;2;17;0;0;3;6;2;4;0;0;0;100;0;100;0;0;0;0;0;0;3;49;3;28;1;12;2;7;1;1
27.09.2024;23:22;A 11;1;3;14;4;41;0;0;3;3;2;2;0;0;0;100;0;100;0;0;0;0;0;0;5;23;2;14;3;15;0;0;0;0
