Datum;Uhrzeit;Bezeichnung;Intervall;D11Z;D11B;D21Z;D21B;D31Z;D31B;D41Z;D41B;MP1Z;MP1B;MP2Z;MP2B;MP3Z;MP3B
16.01.2025;14:27;A111;1;9;15;1;1;8;16;1;95;0;0;0;0;0;0
16.01.2025;14:26;A111;1;7;12;3;32;8;31;1;0;0;0;0;0;0;0
16.01.2025;14:25;A111;1;7;16;3;69;6;37;0;0;0;0;0;0;0;0
16.01.2025;14:24;A111;1;5;10;5;24;8;34;0;0;0;0;0;0;0;0
16.01.2025;14:23;A111;1;2;3;2;55;5;50;0;0;0;0;0;0;0;0
16.01.2025;14:22;A111;1;9;14;1;17;6;14;0;0;0;0;0;0;0;0
16.01.2025;14:21;A111;1;11;56;1;2;5;26;1;1;0;0;0;0;0;0
16.01.2025;14:20;A111;1;2;2;1;37;7;40;0;0;0;0;0;0;0;0
16.01.2025;14:19;A111;1;1;1;3;50;5;50;1;2;0;0;0;0;0;0
16.01.2025;14:18;A111;1;4;12;2;95;4;8;0;0;0;0;0;0;0;0
16.01.2025;14:17;A111;1;4;34;3;63;4;6;0;0;0;0;0;0;0;0
16.01.2025;14:16;A111;1;7;43;1;36;6;41;0;0;0;0;0;0;0;0
16.01.2025;14:15;A111;1;4;22;4;45;6;55;0;0;0;0;0;0;0;0
16.01.2025;14:14;A111;1;4;4;5;67;3;11;1;0;0;0;0;0;0;0
16.01.2025;14:13;A111;1;7;31;1;79;6;31;0;0;0;0;0;0;0;0
16.01.2025;14:12;A111;1;4;21;5;12;5;24;0;0;0;0;0;0;0;0
16.01.2025;14:11;A111;1;8;15;4;55;10;16;0;0;0;0;0;0;0;0
16.01.2025;14:10;A111;1;3;8;5;13;6;13;1;0;0;0;0;0;0;0
16.01.2025;14:09;A111;1;1;2;1;47;9;15;1;0;0;0;0;0;0;0
16.01.2025;14:08;A111;1;3;6;3;45;2;3;0;0;0;0;0;0;0;0
16.01.2025;14:07;A111;1;4;7;1;94;10;34;0;0;0;0;0;0;0;0
16.01.2025;14:06;A111;1;7;12;3;10;9;47;0;0;0;0;0;0;0;0
16.01.2025;14:05;A111;1;5;10;2;75;9;30;0;0;0;0;0;0;0;0
16.01.2025;14:04;A111;1;0;0;4;88;5;18;0;0;0;0;0;0;0;0
16.01.2025;14:03;A111;1;2;4;4;13;4;47;0;0;0;0;0;0;0;0
16.01.2025;14:02;A111;1;3;6;3;35;6;12;0;0;0;0;0;0;0;0
16.01.2025;14:01;A111;1;1;1;3;52;6;36;0;0;0;0;0;0;0;0
16.01.2025;14:00;A111;1;2;19;4;7;5;7;1;1;0;0;0;0;0;0
16.01.2025;13:59;A111;1;5;8;3;8;5;10;0;0;0;0;0;0;0;0
16.01.2025;13:58;A111;1;8;24;3;12;6;15;0;0;0;0;0;0;0;0
16.01.2025;13:57;A111;1;3;35;6;52;5;46;2;1;0;0;0;0;0;0
16.01.2025;13:56;A111;1;5;23;3;88;6;57;1;1;0;0;0;0;0;0
16.01.2025;13:55;A111;1;3;40;1;1;4;12;0;0;0;0;0;0;0;0
16.01.2025;13:54;A111;1;3;35;1;1;8;33;1;1;0;0;0;0;0;0
16.01.2025;13:53;A111;1;4;10;1;2;1;1;0;0;0;0;0;0;0;0
16.01.2025;13:52;A111;1;5;13;1;53;5;10;1;1;0;0;0;0;0;0
16.01.2025;13:51;A111;1;2;3;2;18;7;28;0;0;0;0;0;0;0;0
16.01.2025;13:50;A111;1;3;26;4;35;4;24;1;0;0;0;0;0;0;0
16.01.2025;13:49;A111;1;2;34;2;94;4;13;1;0;0;0;0;0;0;0
16.01.2025;13:48;A111;1;6;17;5;34;3;4;0;0;0;0;0;0;0;0
16.01.2025;13:47;A111;1;7;13;3;3;2;2;1;1;0;0;0;0;0;0
16.01.2025;13:46;A111;1;2;6;7;14;7;46;1;2;0;0;0;0;0;0
16.01.2025;13:45;A111;1;3;6;6;83;7;11;0;0;0;0;0;0;0;0
16.01.2025;13:44;A111;1;5;8;0;0;6;15;1;2;0;0;0;0;0;0
16.01.2025;13:43;A111;1;2;3;6;15;7;16;0;0;0;0;0;0;0;0
16.01.2025;13:42;A111;1;3;31;1;49;5;48;0;0;0;0;0;0;0;0
16.01.2025;13:41;A111;1;2;51;1;15;5;11;2;1;0;0;0;0;0;0
16.01.2025;13:40;A111;1;6;50;2;27;6;11;0;0;0;0;0;0;0;0
16.01.2025;13:39;A111;1;2;42;3;76;7;48;0;0;0;0;0;0;0;0
16.01.2025;13:38;A111;1;3;15;2;6;7;41;0;0;0;0;0;0;0;0
16.01.2025;13:37;A111;1;6;12;4;6;8;44;0;0;0;0;0;0;0;0
16.01.2025;13:36;A111;1;2;7;7;15;3;39;0;0;0;0;0;0;0;0
16.01.2025;13:35;A111;1;5;45;1;30;6;14;0;0;0;0;0;0;0;0
16.01.2025;13:34;A111;1;2;2;3;55;7;27;0;0;0;0;0;0;0;0
16.01.2025;13:33;A111;1;2;2;3;20;7;42;0;0;0;0;0;0;0;0
16.01.2025;13:32;A111;1;6;35;4;40;1;47;0;0;0;0;0;0;0;0
16.01.2025;13:31;A111;1;8;33;1;4;7;15;0;0;0;0;0;0;0;0
16.01.2025;13:30;A111;1;3;69;1;2;5;21;0;0;0;0;0;0;0;0
16.01.2025;13:29;A111;1;4;9;2;15;6;22;0;0;0;0;0;0;0;0
16.01.2025;13:28;A111;1;6;13;3;56;9;51;1;1;0;0;0;0;0;0
16.01.2025;13:27;A111;1;8;16;5;52;6;40;0;0;0;0;0;0;0;0
16.01.2025;13:26;A111;1;2;3;5;11;5;14;0;0;0;0;0;0;0;0
16.01.2025;13:25;A111;1;3;4;2;29;3;10;0;0;0;0;0;0;0;0
16.01.2025;13:24;A111;1;5;8;1;11;5;17;0;0;0;0;0;0;0;0
16.01.2025;13:23;A111;1;2;2;1;97;6;23;2;1;0;0;0;0;0;0
16.01.2025;13:22;A111;1;1;1;4;5;7;22;0;0;0;0;0;0;0;0
16.01.2025;13:21;A111;1;3;39;1;16;8;60;1;1;0;0;0;0;0;0
16.01.2025;13:20;A111;1;4;8;1;59;8;43;1;1;0;0;0;0;0;0
16.01.2025;13:19;A111;1;7;64;1;54;6;11;0;0;0;0;0;0;0;0
16.01.2025;13:18;A111;1;3;4;2;41;1;4;0;0;0;0;0;0;0;0
16.01.2025;13:17;A111;1;5;11;5;46;8;10;0;0;0;0;0;0;0;0
16.01.2025;13:16;A111;1;1;2;7;81;5;9;0;0;0;0;0;0;0;0
16.01.2025;13:15;A111;1;1;31;7;29;4;6;1;0;0;0;0;0;0;0
16.01.2025;13:14;A111;1;5;41;2;8;4;11;0;0;0;0;0;0;0;0
16.01.2025;13:13;A111;1;3;78;1;27;2;2;0;0;0;0;0;0;0;0
16.01.2025;13:12;A111;1;5;48;3;30;4;7;0;0;0;0;0;0;0;0
16.01.2025;13:11;A111;1;2;3;2;2;6;58;1;0;0;0;0;0;0;0
16.01.2025;13:10;A111;1;1;26;0;1;4;6;0;0;0;0;0;0;0;0
16.01.2025;13:09;A111;1;7;41;5;5;4;15;0;0;0;0;0;0;0;0
16.01.2025;13:08;A111;1;4;8;4;39;6;45;0;0;0;0;0;0;0;0
16.01.2025;13:07;A111;1;2;4;7;60;6;56;0;0;0;0;0;0;0;0
16.01.2025;13:06;A111;1;6;36;3;30;9;62;0;0;0;0;0;0;0;0
