Datum;Uhrzeit;Bezeichnung;Intervall;D11Z;D11B;D12Z;D12B;D13Z;D13B;D14Z;D14B;D21Z;D21B;D22Z;D22B;D31Z;D31B;D32Z;D32B;D33Z;D33B;D41Z;D41B;D42Z;D42B;D57Z;D57B;A5_M1_460Z;A5_M1_460B;A57_M2_464Z;A57_M2_464B;T7_8Z;T7_8B;D43Z;D43B
17.01.2025;22:31;A 10;1;2;4;2;2;1;1;0;0;0;100;0;100;2;3;2;3;0;0;3;43;1;36;0;0;0;0;0;0;1;2;4;5
17.01.2025;22:30;A 10;1;1;2;4;7;1;1;0;0;0;100;0;100;2;4;1;2;2;5;2;55;0;0;0;0;0;0;0;0;0;0;4;7
17.01.2025;22:29;A 10;1;2;3;1;2;1;1;1;1;0;100;0;100;1;1;2;3;0;0;1;70;0;2;0;0;0;0;0;0;0;0;2;3
17.01.2025;22:28;A 10;1;3;5;1;2;1;1;0;0;0;100;0;100;4;8;5;24;3;10;1;38;1;31;0;0;0;0;0;0;0;0;2;3
17.01.2025;22:27;A 10;1;0;0;1;6;1;1;0;0;0;100;0;100;1;2;0;0;4;9;1;63;1;39;0;0;0;0;0;0;0;0;1;1
17.01.2025;22:26;A 10;1;1;1;3;5;1;1;0;0;0;100;0;100;4;4;3;3;1;2;0;0;2;59;0;0;0;0;0;0;0;0;0;0
17.01.2025;22:25;A 10;1;4;6;3;4;0;0;2;5;0;100;0;100;1;1;0;0;3;8;0;0;0;0;0;0;0;0;0;0;0;0;1;2
17.01.2025;22:24;A 10;1;1;2;1;2;0;0;0;0;0;100;0;100;0;0;1;1;0;0;0;35;2;3;0;0;0;0;0;0;0;0;1;2
17.01.2025;22:23;A 10;1;0;0;1;1;0;0;0;0;0;100;0;100;1;1;4;7;2;3;2;28;0;0;0;0;1;2;0;0;0;0;5;9
17.01.2025;22:22;A 10;1;2;3;0;0;1;1;0;0;0;100;0;100;3;5;2;2;0;0;1;60;0;0;0;0;0;0;0;0;1;1;2;3
