Datum;Uhrzeit;Bezeichnung;Intervall;D21Z;D21B;D22Z;D22B;D31Z;D31B;D32Z;D32B;D33Z;D33B;D41Z;D41B;D42Z;D42B;MP1Z;MP1B;MP2Z;MP2B;T1_2Z;T1_2B
03.12.2024;22:10;A 96;1;0;100;0;100;0;0;2;36;0;0;0;0;1;2;0;0;0;0;0;0
03.12.2024;22:09;A 96;1;0;100;0;100;2;51;3;35;0;0;1;1;1;1;0;0;0;0;0;0
03.12.2024;22:08;A 96;1;0;100;0;100;1;1;0;0;0;0;1;1;3;3;0;0;0;0;0;0
03.12.2024;22:07;A 96;1;0;100;0;100;2;47;0;0;0;0;2;4;4;10;0;0;0;0;0;0
03.12.2024;22:06;A 96;1;0;100;0;100;1;21;0;0;0;0;1;1;1;0;0;0;0;0;0;0
03.12.2024;22:05;A 96;1;0;100;0;100;2;16;0;0;0;0;3;5;1;2;0;0;0;0;0;0
03.12.2024;22:04;A 96;1;0;100;0;100;2;11;0;0;1;76;1;0;3;5;0;0;0;0;0;0
03.12.2024;22:03;A 96;1;0;100;0;100;4;32;1;1;0;0;2;2;4;4;0;0;0;0;0;0
03.12.2024;22:02;A 96;1;0;100;0;100;0;3;1;2;0;0;2;3;3;6;0;0;0;0;0;0
03.12.2024;22:01;A 96;1;0;100;0;100;2;19;0;0;2;16;1;1;1;1;0;0;0;0;0;0
03.12.2024;22:00;A 96;1;0;100;0;100;1;42;0;0;1;50;3;4;3;3;0;0;1;2;0;0
03.12.2024;21:59;A 96;1;0;100;0;100;2;3;0;0;0;0;2;2;0;0;0;0;0;0;0;0
03.12.2024;21:58;A 96;1;0;100;0;100;0;0;0;0;0;0;1;5;4;6;1;2;1;2;1;1
03.12.2024;21:57;A 96;1;0;100;0;100;0;0;0;36;1;7;2;1;3;3;0;0;0;0;0;0
03.12.2024;21:56;A 96;1;0;100;0;100;0;0;1;13;1;44;2;2;4;4;0;0;0;0;0;0
03.12.2024;21:55;A 96;1;0;100;0;100;2;2;0;0;1;76;1;1;1;1;0;0;0;0;0;0
03.12.2024;21:54;A 96;1;0;100;0;100;1;42;2;42;3;23;3;4;1;1;0;0;0;0;0;0
03.12.2024;21:53;A 96;1;0;100;0;100;0;0;0;61;0;0;1;1;1;1;0;0;0;0;0;0
03.12.2024;21:52;A 96;1;0;100;0;100;0;0;1;17;1;59;2;3;6;5;0;0;0;0;0;0
03.12.2024;21:51;A 96;1;0;100;0;100;4;50;1;5;0;0;2;3;2;2;0;0;0;0;1;2
03.12.2024;21:50;A 96;1;0;100;0;100;1;69;0;0;1;1;2;3;1;1;0;0;0;0;0;0
03.12.2024;21:49;A 96;1;0;100;0;100;1;18;0;0;0;0;2;2;2;2;0;0;0;0;1;81
03.12.2024;21:47;A 96;1;0;100;0;100;0;9;0;0;1;5;3;3;2;2;0;0;0;0;0;0
03.12.2024;21:45;A 96;1;0;100;0;100;3;3;0;21;1;25;2;1;2;2;0;0;0;0;0;0
03.12.2024;21:34;A 96;1;0;100;0;100;4;8;0;0;0;0;1;2;3;4;0;0;0;0;0;0
03.12.2024;20:28;A 96;1;0;100;0;100;2;43;0;0;0;0;3;3;4;3;1;2;1;2;0;0
03.12.2024;20:25;A 96;1;0;100;0;100;2;36;1;1;0;0;4;3;3;3;0;0;0;0;0;0
03.12.2024;19:42;A 96;1;0;100;0;100;3;63;1;60;0;59;7;9;3;3;0;0;0;0;0;0
03.12.2024;19:41;A 96;1;0;100;0;100;15;64;1;56;1;55;2;3;2;2;0;0;0;0;0;0
03.12.2024;19:29;A 96;1;0;100;0;100;1;10;0;0;1;11;10;12;10;10;0;0;0;0;0;0
03.12.2024;19:21;A 96;1;0;100;0;100;1;61;0;58;2;3;6;23;5;7;0;0;0;0;0;0
03.12.2024;19:17;A 96;1;0;100;0;100;3;69;1;47;2;54;6;4;4;5;0;0;0;0;1;27
03.12.2024;19:16;A 96;1;0;100;0;100;1;29;1;5;1;82;6;8;3;3;0;0;0;0;0;0
03.12.2024;19:14;A 96;1;0;100;0;100;3;72;0;14;0;13;2;2;1;1;0;0;0;0;0;0
03.12.2024;19:06;A 96;1;0;100;0;100;3;63;0;0;2;7;2;3;2;2;0;0;0;0;0;0
03.12.2024;19:03;A 96;1;0;100;0;100;4;31;0;0;2;3;5;5;5;5;0;0;0;0;0;0
03.12.2024;18:50;A 96;1;0;100;0;100;1;1;1;12;2;10;11;10;8;10;0;0;0;0;0;0
03.12.2024;17:41;A 96;1;0;100;0;100;7;33;4;58;4;51;13;48;7;10;0;0;0;0;0;0
03.12.2024;17:26;A 96;1;0;100;0;100;6;56;2;60;2;29;9;13;13;41;0;0;0;0;0;0
03.12.2024;16:57;A 96;1;0;100;0;100;2;52;2;13;3;68;9;7;8;8;0;0;0;0;0;0
03.12.2024;16:10;A 96;1;0;100;0;100;1;99;1;89;1;55;4;9;4;4;0;0;0;0;0;0
03.12.2024;16:06;A 96;1;0;100;0;100;3;63;2;56;3;62;8;14;9;13;0;0;0;0;0;0
03.12.2024;16:03;A 96;1;0;100;0;100;5;65;3;65;0;59;8;31;7;8;0;0;0;0;0;3
03.12.2024;15:59;A 96;1;0;100;0;100;2;78;2;15;4;6;8;7;7;8;0;0;0;0;0;0
03.12.2024;15:58;A 96;1;0;100;0;100;1;37;1;32;1;5;12;10;7;7;0;0;1;2;0;0
03.12.2024;15:30;A 96;1;0;100;0;100;3;65;2;65;3;65;0;0;1;1;0;0;0;0;0;0
03.12.2024;14:47;A 96;1;0;100;0;100;2;32;1;1;0;27;4;4;6;6;0;0;0;0;0;0
03.12.2024;14:05;A 96;1;0;100;0;100;0;60;2;4;2;11;5;7;5;7;0;0;0;0;0;0
03.12.2024;13:43;A 96;1;0;100;0;100;1;33;0;0;0;33;5;4;7;6;1;2;1;2;1;2
03.12.2024;13:08;A 96;1;0;100;0;100;5;63;0;0;1;37;5;6;6;6;0;0;0;0;0;0
03.12.2024;12:57;A 96;1;0;100;0;100;4;90;1;85;0;0;4;7;6;4;1;2;0;0;0;0
03.12.2024;12:39;A 96;1;0;100;0;100;7;45;4;41;1;62;4;5;4;3;0;0;0;0;0;0
03.12.2024;12:33;A 96;1;0;100;0;100;5;75;3;9;2;38;5;4;4;4;0;0;0;0;0;0
03.12.2024;12:12;A 96;1;0;100;0;100;3;10;0;0;2;58;6;6;4;4;0;0;0;0;0;0
03.12.2024;11:49;A 96;1;0;100;0;100;3;69;2;53;2;10;5;4;7;5;0;0;0;0;0;0
03.12.2024;11:39;A 96;1;0;100;0;100;1;37;0;0;1;17;8;11;7;10;0;0;0;0;0;0
03.12.2024;11:35;A 96;1;0;100;0;100;2;21;1;1;0;0;8;14;3;3;0;0;0;0;0;0
03.12.2024;11:19;A 96;1;0;100;0;100;3;4;1;5;2;44;5;5;1;1;0;0;0;0;0;0
03.12.2024;11:11;A 96;1;0;100;0;100;2;2;0;0;0;69;4;4;1;0;0;0;0;0;0;0
03.12.2024;11:10;A 96;1;0;100;0;100;4;59;2;53;2;85;3;4;5;40;0;0;0;0;0;0
03.12.2024;11:09;A 96;1;0;100;0;100;1;33;1;41;1;9;10;15;10;11;0;0;0;0;0;0
03.12.2024;11:04;A 96;1;0;100;0;100;4;75;1;67;0;0;7;9;7;6;0;0;0;0;0;0
