Datum;Uhrzeit;Bezeichnung;Intervall;V21Z;V21B;V22Z;V22B;V81Z;V81B;V82Z;V82B;D11Z;D11B;D12Z;D12B;TF32Z;TF32B;TB32Z;TB32B;TF33Z;TF33B;TB33Z;TB33B;ST51Z;ST51B;ST55Z;ST55B;LUe_AbFV2_A8Z;LUe_AbFV2_A8B
06.05.2024;23:28;A 80;1;0;0;0;0;0;0;2;7;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0
06.05.2024;23:27;A 80;1;0;0;0;0;0;0;3;4;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0
06.05.2024;23:26;A 80;1;0;0;3;5;0;0;0;8;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0
06.05.2024;23:25;A 80;1;0;0;0;0;0;0;3;17;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0
06.05.2024;23:24;A 80;1;0;0;0;0;0;0;5;41;0;0;0;100;0;0;0;0;1;1;1;1;0;0;0;0;0;0
06.05.2024;23:23;A 80;1;0;0;3;2;0;0;1;2;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0
06.05.2024;23:22;A 80;1;0;0;3;2;0;0;1;10;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0
06.05.2024;23:21;A 80;1;0;0;3;2;0;0;6;32;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0
06.05.2024;23:20;A 80;1;0;0;3;2;1;1;2;10;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0
06.05.2024;23:19;A 80;1;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0
06.05.2024;23:18;A 80;1;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0
06.05.2024;23:17;A 80;1;0;0;3;4;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0
06.05.2024;23:16;A 80;1;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0
06.05.2024;23:15;A 80;1;0;0;0;0;0;0;4;14;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0
06.05.2024;23:14;A 80;1;0;0;3;4;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0
06.05.2024;23:13;A 80;1;0;0;3;3;1;3;1;9;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0
06.05.2024;23:12;A 80;1;0;0;3;2;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0
