Datum;Uhrzeit;Bezeichnung;Intervall;D11Z;D11B;D12Z;D12B;D13Z;D13B;D21Z;D21B;D22Z;D22B;D31Z;D31B;D32Z;D32B;D33Z;D33B;D41Z;D41B;D42Z;D42B;D28Z;D28B;D29Z;D29B;D70Z;D70B;H53-Bahn_M1_Z;H53-Bahn_M1_B;A53-Bahn_M2_Z;A53-Bahn_M2_B;H53-Bus_M3_Z;H53-Bus_M3_B;A53-Bus_M4_Z;A53-Bus_M4_B;STRAB_53dZ;STRAB_53dB;STRAB_57dZ;STRAB_57dB;Anf_32Z;Anf_32B;Anf_38Z;Anf_38B;FeuerwehrZ;FeuerwehrB
20.12.2024;23:24;A 12;1;3;4;0;0;1;0;0;49;23;9;1;1;0;0;1;0;0;0;0;0;2;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20.12.2024;23:23;A 12;1;2;3;1;0;1;0;1;15;7;2;1;1;1;1;0;0;2;11;2;6;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20.12.2024;23:22;A 12;1;2;4;1;1;1;6;0;0;0;0;2;2;1;2;1;0;1;2;1;10;2;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20.12.2024;23:21;A 12;1;1;1;1;1;0;0;0;0;0;0;1;2;0;0;1;42;1;1;1;1;3;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20.12.2024;23:20;A 12;1;2;2;1;1;0;0;0;0;0;0;5;4;1;2;1;49;0;0;1;86;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3
20.12.2024;23:19;A 12;1;0;0;0;0;0;0;1;23;1;21;3;2;1;1;2;16;1;0;1;1;2;2;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;4
20.12.2024;23:18;A 12;1;2;3;3;4;0;0;0;0;0;0;3;3;0;0;1;9;1;1;1;28;1;1;5;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0
20.12.2024;23:17;A 12;1;3;4;4;5;0;0;1;1;1;45;0;0;0;0;1;1;4;1;4;4;0;0;1;1;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0
20.12.2024;23:16;A 12;1;2;3;2;2;1;0;1;0;0;0;9;8;3;3;1;20;2;4;2;17;1;1;2;2;0;0;0;0;0;0;0;0;1;2;0;0;0;0;1;2;0;0;0;0
20.12.2024;23:15;A 12;1;0;0;1;1;0;0;0;13;0;12;2;1;2;1;1;33;2;4;1;16;1;1;2;2;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0
20.12.2024;23:14;A 12;1;2;1;2;1;0;0;1;61;1;59;3;2;2;2;1;1;0;0;1;24;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20.12.2024;23:13;A 12;1;2;2;5;4;1;0;1;34;1;33;2;4;2;8;0;0;0;0;0;0;2;1;6;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20.12.2024;23:12;A 12;1;1;19;2;2;0;0;0;0;0;0;3;4;2;4;0;0;4;4;3;34;4;4;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20.12.2024;23:11;A 12;1;3;6;1;1;0;0;2;12;0;96;1;1;1;1;0;0;1;2;2;24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20.12.2024;23:10;A 12;1;0;0;0;0;0;0;1;1;1;2;2;2;0;0;1;1;3;4;2;50;1;1;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20.12.2024;23:09;A 12;1;1;1;3;3;0;0;2;36;2;23;4;6;2;3;0;0;2;1;2;54;2;2;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20.12.2024;23:08;A 12;1;3;4;2;2;1;1;1;29;1;28;4;5;0;0;2;60;4;4;5;55;4;4;2;2;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20.12.2024;23:07;A 12;1;3;4;3;3;1;0;1;1;1;1;3;2;2;2;0;0;1;2;1;67;2;2;4;5;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
