Datum;Uhrzeit;Bezeichnung;Intervall;V21Z;V21B;V81Z;V81B;T32Z;T32B;TB32Z;TB32B;V51Z;V51B;ST55Z;ST55B;TB33Z;TB33B;VK1_3StoerZ;VK1_3StoerB
11.10.2024;23:28;A 39;1;;;0;0;2;3;0;0;0;0;0;0;0;0;0;0
11.10.2024;23:27;A 39;1;;;0;0;4;20;0;0;0;0;0;0;0;0;0;0
11.10.2024;23:26;A 39;1;;;1;18;0;0;0;0;0;0;0;0;0;0;0;0
11.10.2024;23:25;A 39;1;;;0;0;2;13;0;0;0;0;0;0;0;0;0;0
11.10.2024;23:24;A 39;1;;;0;0;1;13;0;0;0;0;0;0;0;0;0;0
11.10.2024;23:23;A 39;1;;;4;16;2;4;0;0;0;0;0;0;0;0;0;0
11.10.2024;23:22;A 39;1;;;1;4;2;4;0;0;0;0;0;0;0;0;0;0
11.10.2024;23:21;A 39;1;;;1;8;0;0;0;0;0;0;0;0;0;0;0;0
11.10.2024;23:20;A 39;1;;;3;18;2;2;0;0;0;0;0;0;0;0;0;0
11.10.2024;23:19;A 39;1;;;1;8;1;9;0;0;0;0;0;0;0;0;0;0
11.10.2024;23:18;A 39;1;;;2;7;0;0;0;0;0;0;0;0;0;0;0;0
11.10.2024;23:17;A 39;1;;;0;0;2;11;0;0;0;0;0;0;0;0;0;0
11.10.2024;23:16;A 39;1;;;1;21;4;15;0;0;0;0;0;0;0;0;0;0
11.10.2024;23:15;A 39;1;;;1;18;0;0;0;0;0;0;0;0;0;0;0;0
11.10.2024;23:14;A 39;1;;;1;6;2;2;0;0;0;0;0;0;0;0;0;0
11.10.2024;23:13;A 39;1;;;2;28;4;16;0;0;0;0;0;0;0;0;0;0
11.10.2024;23:12;A 39;1;;;2;5;2;14;0;0;0;0;0;0;0;0;0;0
11.10.2024;23:11;A 39;1;;;3;22;1;3;0;0;0;0;0;0;0;0;0;0
11.10.2024;23:10;A 39;1;;;1;4;0;0;0;0;0;0;0;0;0;0;0;0
11.10.2024;23:09;A 39;1;;;5;38;3;14;0;0;0;0;0;0;0;0;0;0
11.10.2024;23:08;A 39;1;;;1;3;7;16;0;0;0;0;0;0;0;0;0;0
11.10.2024;23:07;A 39;1;;;1;6;1;7;0;0;0;0;0;0;0;0;0;0
11.10.2024;23:06;A 39;1;;;0;0;2;3;2;9;0;0;0;0;0;0;0;0
11.10.2024;23:05;A 39;1;;;1;11;5;10;0;0;0;0;0;0;0;0;0;0
11.10.2024;23:04;A 39;1;;;0;2;1;4;0;0;0;0;0;0;0;0;0;0
11.10.2024;23:03;A 39;1;;;3;15;2;7;0;0;0;0;0;0;0;0;0;0
11.10.2024;23:02;A 39;1;;;0;0;3;9;0;0;0;0;0;0;0;0;0;0
11.10.2024;23:01;A 39;1;;;0;0;5;9;0;0;0;0;0;0;0;0;0;0
11.10.2024;23:00;A 39;1;;;4;14;1;8;0;0;0;0;0;0;0;0;0;0
11.10.2024;22:59;A 39;1;;;0;0;1;10;0;0;0;0;0;0;0;0;0;0
11.10.2024;22:58;A 39;1;;;2;14;5;11;0;0;0;0;0;0;0;0;0;0
11.10.2024;22:57;A 39;1;;;0;0;3;12;0;0;0;0;0;0;0;0;0;0
11.10.2024;22:56;A 39;1;;;2;10;3;15;0;0;0;0;0;0;0;0;0;0
11.10.2024;22:55;A 39;1;;;1;7;0;0;0;0;0;0;0;0;0;0;0;0
11.10.2024;22:54;A 39;1;;;2;6;0;0;0;0;0;0;0;0;0;0;0;0
11.10.2024;22:53;A 39;1;;;1;13;2;9;0;0;0;0;0;0;0;0;0;0
11.10.2024;22:52;A 39;1;;;5;27;2;3;1;8;0;0;0;0;0;0;0;0
11.10.2024;22:51;A 39;1;;;1;10;2;20;0;0;0;0;0;0;0;0;0;0
11.10.2024;22:50;A 39;1;;;0;0;4;18;0;0;0;0;0;0;0;0;0;0
11.10.2024;22:49;A 39;1;;;2;7;3;4;0;0;0;0;0;0;0;0;0;0
11.10.2024;22:48;A 39;1;;;0;0;2;3;0;0;0;0;0;0;0;0;0;0
11.10.2024;22:47;A 39;1;;;0;4;2;9;0;0;0;0;0;0;0;0;0;0
11.10.2024;22:46;A 39;1;;;1;1;4;5;0;0;0;0;0;0;0;0;0;0
11.10.2024;22:45;A 39;1;;;9;33;4;6;0;0;0;0;0;0;0;0;0;0
11.10.2024;22:44;A 39;1;;;0;0;3;8;0;0;0;0;0;0;0;0;0;0
11.10.2024;22:43;A 39;1;;;4;14;2;3;0;0;0;0;0;0;0;0;0;0
11.10.2024;22:42;A 39;1;;;3;8;2;5;0;0;0;0;0;0;0;0;0;0
11.10.2024;22:41;A 39;1;;;0;0;1;5;0;0;0;0;0;0;0;0;0;0
11.10.2024;22:40;A 39;1;;;2;22;2;29;0;0;0;0;0;0;0;0;0;0
11.10.2024;22:39;A 39;1;;;0;0;6;25;0;0;0;0;0;0;0;0;0;0
11.10.2024;22:38;A 39;1;;;5;30;0;0;0;0;0;0;0;0;0;0;0;0
11.10.2024;22:37;A 39;1;;;3;8;2;9;0;0;0;0;0;0;0;0;0;0
11.10.2024;22:36;A 39;1;;;3;23;3;16;2;10;0;0;0;0;0;0;0;0
11.10.2024;22:35;A 39;1;;;2;7;2;3;0;0;0;0;0;0;0;0;0;0
11.10.2024;22:34;A 39;1;;;0;0;2;29;0;0;0;0;0;0;0;0;0;0
11.10.2024;22:33;A 39;1;;;2;8;1;5;0;0;0;0;0;0;0;0;0;0
11.10.2024;22:32;A 39;1;;;1;10;4;7;0;0;0;0;0;0;0;0;0;0
11.10.2024;22:31;A 39;1;;;2;17;1;4;0;0;0;0;0;0;0;0;0;0
11.10.2024;22:30;A 39;1;;;4;12;0;2;0;0;0;0;0;0;0;0;0;0
11.10.2024;22:29;A 39;1;;;2;15;2;17;0;0;0;0;0;0;0;0;0;0
11.10.2024;22:28;A 39;1;;;2;3;0;0;0;0;0;0;0;0;0;0;0;0
11.10.2024;22:27;A 39;1;;;1;18;3;8;0;0;0;0;0;0;0;0;0;0
11.10.2024;22:26;A 39;1;;;0;0;10;30;0;0;0;0;0;0;0;0;0;0
11.10.2024;22:25;A 39;1;;;2;23;2;31;0;0;0;0;0;0;0;0;0;0
11.10.2024;22:24;A 39;1;;;1;1;1;0;0;0;0;0;0;0;0;0;0;0
11.10.2024;22:23;A 39;1;;;3;23;4;12;0;0;0;0;0;0;0;0;0;0
11.10.2024;22:22;A 39;1;;;2;6;0;0;0;0;0;0;0;0;0;0;0;0
11.10.2024;22:21;A 39;1;;;2;24;4;21;1;11;0;0;0;0;0;0;0;0
11.10.2024;22:20;A 39;1;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11.10.2024;22:19;A 39;1;;;1;7;3;11;0;0;0;0;0;0;0;0;0;0
11.10.2024;22:18;A 39;1;;;5;14;3;16;0;0;0;0;0;0;0;0;0;0
11.10.2024;22:17;A 39;1;;;1;5;3;12;0;0;0;0;0;0;0;0;0;0
11.10.2024;22:16;A 39;1;;;4;17;2;2;0;0;0;0;0;0;0;0;0;0
11.10.2024;22:15;A 39;1;;;2;11;0;0;0;0;0;0;0;0;0;0;0;0
11.10.2024;22:14;A 39;1;;;3;19;4;20;0;0;0;0;0;0;0;0;0;0
11.10.2024;22:13;A 39;1;;;0;0;3;11;0;0;0;0;0;0;0;0;0;0
11.10.2024;22:12;A 39;1;;;1;9;1;6;0;0;0;0;0;0;0;0;0;0
11.10.2024;22:11;A 39;1;;;1;7;3;23;0;0;0;0;0;0;0;0;0;0
11.10.2024;22:10;A 39;1;;;3;9;3;15;0;0;0;0;0;0;0;0;0;0
11.10.2024;22:09;A 39;1;;;0;10;5;21;0;0;0;0;0;0;0;0;0;0
11.10.2024;22:08;A 39;1;;;1;11;1;0;0;0;0;0;0;0;0;0;0;0
11.10.2024;22:07;A 39;1;;;2;25;0;0;0;0;0;0;0;0;0;0;0;0
11.10.2024;22:06;A 39;1;;;1;10;1;4;0;4;0;0;0;0;0;0;0;0
11.10.2024;22:05;A 39;1;;;2;17;3;9;1;5;0;0;0;0;0;0;0;0
